Area_Name,Year,Group_Name,Sub_Group_Name,Cases_Acquitted_or_Discharged,Cases_charge_sheets_were_not_laid_but_Final_Report_submitted,Cases_Chargesheeted,Cases_Compounded_or_Withdrawn,Cases_Convicted,Cases_Declared_False_on_Account_of_Mistake_of_Fact_or_of_Law,Cases_Investigated_Chargesheets+FR_Submitted,Cases_not_Investigated_or_in_which_investigation_was_refused,Cases_Pending_Investigation_at_Year_End,Cases_Pending_Investigation_from_previous_year,Cases_Pending_Trial_at_Year_End,Cases_Pending_Trial_from_the_previous_year,Cases_Reported,Cases_Sent_for_Trial,Cases_Trials_Completed,Cases_Withdrawn_by_the_Govt,Cases_withdrawn_by_the_Govt_during_investigation,Total_Cases_for_Trial
Manipur,2004,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2004,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0
Mizoram,2004,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2004,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2004,Dowry Deaths,03. Dowry Deaths,202,2,298,0,44,15,300,0,116,112,948,896,319,298,246,0,0,1194
Puducherry,2004,Dowry Deaths,03. Dowry Deaths,1,0,3,0,0,0,3,0,5,2,8,6,6,3,1,0,0,9
Punjab,2004,Dowry Deaths,03. Dowry Deaths,45,5,104,3,47,10,109,0,72,78,271,262,113,104,92,0,0,366
Rajasthan,2004,Dowry Deaths,03. Dowry Deaths,165,1,320,6,126,68,321,0,70,80,1284,1261,379,320,291,0,0,1581
Sikkim,2004,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2004,Dowry Deaths,03. Dowry Deaths,134,10,213,0,42,0,223,0,84,82,607,570,225,213,176,0,0,783
Tripura,2004,Dowry Deaths,03. Dowry Deaths,8,5,22,0,1,0,27,0,19,26,51,38,20,22,9,0,0,60
Uttar Pradesh,2004,Dowry Deaths,03. Dowry Deaths,707,172,1393,69,727,118,1565,0,280,255,6695,6805,1708,1393,1434,0,0,8198
Uttarakhand,2004,Dowry Deaths,03. Dowry Deaths,13,7,65,0,30,9,72,0,16,15,200,178,82,65,43,0,0,243
West Bengal,2004,Dowry Deaths,03. Dowry Deaths,165,4,344,0,29,0,348,0,289,241,1348,1198,396,344,194,0,0,1542
Andaman & Nicobar Islands,2005,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Andhra Pradesh,2005,Dowry Deaths,03. Dowry Deaths,429,7,473,3,118,20,480,0,238,295,972,1049,443,473,547,0,0,1522
Arunachal Pradesh,2005,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2005,Dowry Deaths,03. Dowry Deaths,23,12,61,0,15,6,73,0,141,121,174,151,99,61,38,0,0,212
Bihar,2005,Dowry Deaths,03. Dowry Deaths,391,53,680,3,110,46,733,0,1363,1128,2947,2771,1014,680,501,0,0,3451
Chandigarh,2005,Dowry Deaths,03. Dowry Deaths,6,0,4,0,0,0,4,0,1,2,4,6,3,4,6,0,0,10
Chhattisgarh,2005,Dowry Deaths,03. Dowry Deaths,36,1,91,3,26,0,92,0,10,2,268,242,100,91,62,0,0,333
Dadra & Nagar Haveli,2005,Dowry Deaths,03. Dowry Deaths,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,2
Daman & Diu,2005,Dowry Deaths,03. Dowry Deaths,0,0,1,0,0,0,1,0,1,1,2,1,1,1,0,0,0,2
Delhi,2005,Dowry Deaths,03. Dowry Deaths,85,2,95,0,40,1,97,0,81,65,707,737,114,95,125,0,0,832
Goa,2005,Dowry Deaths,03. Dowry Deaths,2,0,3,0,0,0,3,0,2,3,6,5,2,3,2,0,0,8
Gujarat,2005,Dowry Deaths,03. Dowry Deaths,55,0,48,0,10,0,48,0,5,5,479,496,48,48,65,0,0,544
Haryana,2005,Dowry Deaths,03. Dowry Deaths,196,3,185,0,52,31,188,0,17,24,458,521,212,185,248,0,0,706
Himachal Pradesh,2005,Dowry Deaths,03. Dowry Deaths,3,0,1,0,1,1,1,0,2,2,26,29,2,1,4,0,0,30
Jammu & Kashmir,2005,Dowry Deaths,03. Dowry Deaths,1,0,7,0,1,0,7,0,2,4,23,18,5,7,2,0,0,25
Jharkhand,2005,Dowry Deaths,03. Dowry Deaths,15,18,166,10,71,2,184,0,232,161,585,515,257,166,86,0,0,681
Karnataka,2005,Dowry Deaths,03. Dowry Deaths,261,8,233,0,63,2,241,9,77,68,591,682,261,233,324,0,0,915
Kerala,2005,Dowry Deaths,03. Dowry Deaths,24,0,18,0,10,0,18,0,25,22,142,158,21,18,34,0,0,176
Lakshadweep,2005,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2005,Dowry Deaths,03. Dowry Deaths,476,7,715,19,262,4,722,0,127,114,1578,1620,739,715,738,0,0,2335
Maharashtra,2005,Dowry Deaths,03. Dowry Deaths,266,2,336,2,34,1,338,0,72,70,3039,3005,341,336,300,0,0,3341
Manipur,2005,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2005,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0
Mizoram,2005,Dowry Deaths,03. Dowry Deaths,0,0,4,0,2,0,4,0,0,0,2,0,4,4,2,0,0,4
Nagaland,2005,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2005,Dowry Deaths,03. Dowry Deaths,175,4,268,0,35,10,272,0,168,116,1006,948,334,268,210,0,0,1216
Puducherry,2005,Dowry Deaths,03. Dowry Deaths,0,0,2,0,0,0,2,0,7,5,10,8,4,2,0,0,0,10
Punjab,2005,Dowry Deaths,03. Dowry Deaths,37,4,89,0,28,12,93,0,66,72,295,271,99,89,65,0,0,360
Rajasthan,2005,Dowry Deaths,03. Dowry Deaths,143,3,281,4,119,87,284,0,60,70,1299,1284,361,281,262,0,0,1565
Sikkim,2005,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2005,Dowry Deaths,03. Dowry Deaths,171,2,212,0,71,5,214,0,80,84,571,607,215,212,242,6,0,813
Tripura,2005,Dowry Deaths,03. Dowry Deaths,6,9,28,0,7,0,37,0,16,19,66,51,34,28,13,0,0,79
Uttar Pradesh,2005,Dowry Deaths,03. Dowry Deaths,621,127,1367,102,678,82,1494,0,268,280,6661,6695,1564,1367,1299,0,0,8062
Uttarakhand,2005,Dowry Deaths,03. Dowry Deaths,29,14,48,0,14,2,62,0,15,16,205,200,63,48,43,0,0,248
West Bengal,2005,Dowry Deaths,03. Dowry Deaths,267,15,389,0,94,0,404,0,331,289,1376,1348,446,389,361,0,0,1737
Andaman & Nicobar Islands,2006,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Andhra Pradesh,2006,Dowry Deaths,03. Dowry Deaths,280,26,426,1,73,25,452,0,280,238,1044,972,519,426,353,0,0,1398
Arunachal Pradesh,2006,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Assam,2006,Dowry Deaths,03. Dowry Deaths,21,16,74,2,30,3,90,0,153,141,195,174,105,74,51,0,0,248
Bihar,2006,Dowry Deaths,03. Dowry Deaths,512,80,749,1,138,38,829,0,1684,1363,3045,2947,1188,749,650,0,0,3696
Chandigarh,2006,Dowry Deaths,03. Dowry Deaths,3,0,9,0,0,0,9,0,2,1,10,4,10,9,3,0,0,13
Chhattisgarh,2006,Dowry Deaths,03. Dowry Deaths,48,0,99,4,23,0,99,0,14,10,292,268,103,99,71,0,0,367
Dadra & Nagar Haveli,2006,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
Daman & Diu,2006,Dowry Deaths,03. Dowry Deaths,0,0,1,0,0,0,1,0,0,1,2,1,0,1,0,0,0,2
Delhi,2006,Dowry Deaths,03. Dowry Deaths,73,9,134,0,47,4,143,0,71,81,721,707,137,134,120,0,0,841
Goa,2006,Dowry Deaths,03. Dowry Deaths,2,0,1,0,0,0,1,0,1,2,5,6,0,1,2,0,0,7
Gujarat,2006,Dowry Deaths,03. Dowry Deaths,31,4,43,1,3,1,47,1,6,5,487,479,50,43,34,0,0,522
Haryana,2006,Dowry Deaths,03. Dowry Deaths,129,1,215,2,69,22,216,0,34,17,473,458,255,215,198,0,0,673
Himachal Pradesh,2006,Dowry Deaths,03. Dowry Deaths,4,0,4,0,1,0,4,0,1,2,25,26,3,4,5,0,0,30
Jammu & Kashmir,2006,Dowry Deaths,03. Dowry Deaths,2,0,8,0,0,1,8,0,3,2,29,23,10,8,2,0,0,31
Jharkhand,2006,Dowry Deaths,03. Dowry Deaths,195,25,170,9,60,0,195,0,318,232,491,585,281,170,255,0,0,755
Karnataka,2006,Dowry Deaths,03. Dowry Deaths,242,8,213,1,41,7,221,11,80,77,520,591,244,213,283,0,2,804
Kerala,2006,Dowry Deaths,03. Dowry Deaths,19,2,21,0,6,1,23,0,26,25,138,142,25,21,25,0,0,163
Lakshadweep,2006,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2006,Dowry Deaths,03. Dowry Deaths,398,7,735,7,280,2,742,0,147,127,1628,1578,764,735,678,0,0,2313
Maharashtra,2006,Dowry Deaths,03. Dowry Deaths,245,0,374,0,27,0,374,0,85,72,3141,3039,387,374,272,0,0,3413
Manipur,2006,Dowry Deaths,03. Dowry Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2006,Dowry Deaths,03. Dowry Deaths,0,1,3,0,0,0,4,0,6,4,3,0,6,3,0,0,0,3
Mizoram,2006,Dowry Deaths,03. Dowry Deaths,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2
